Type,Title,Summary,Author,Publication Date,normalized_text,tokens,filtered_tokens,stemmed_words,lemmatized_words
Nature Video,A glass that builds and heals itself,"The accidental discovery could be used to make lenses, or even as a glue.",Dan Fox,12-Jun-24,a glass that builds and heals itself,"['a', 'glass', 'that', 'builds', 'and', 'heals', 'itself']","['glass', 'builds', 'heals']","['glass', 'build', 'heal']","['glass', 'build', 'heals']"
Article,Fabrication of red-emitting perovskite LEDs by stabilizing their octahedral structure,"Red-emitting perovskite LEDs were fabricated by stabilizing their octahedral structure with a ligand to yield devices with enhanced efficiency, spectral stability and lifetime.","Lingmei Kong, Yuqi Sun, Xuyong Yang",12-Jun-24,fabrication of redemitting perovskite leds by stabilizing their octahedral structure,"['fabrication', 'of', 'redemitting', 'perovskite', 'leds', 'by', 'stabilizing', 'their', 'octahedral', 'structure']","['fabrication', 'redemitting', 'perovskite', 'leds', 'stabilizing', 'octahedral', 'structure']","['fabric', 'redemit', 'perovskit', 'led', 'stabil', 'octahedr', 'structur']","['fabrication', 'redemitting', 'perovskite', 'led', 'stabilizing', 'octahedral', 'structure']"
Article,Endoplasmic reticulum–plasma membrane contact gradients direct cell migration,The density and size of contact gradients between the endoplasmic reticulum and the plasma membrane control the speed and direction of cell migration by restricting receptor signalling to the front.,"Bo Gong, Jake D. Johnston, Tobias Meyer",12-Jun-24,endoplasmic reticulumplasma membrane contact gradients direct cell migration,"['endoplasmic', 'reticulumplasma', 'membrane', 'contact', 'gradients', 'direct', 'cell', 'migration']","['endoplasmic', 'reticulumplasma', 'membrane', 'contact', 'gradients', 'direct', 'cell', 'migration']","['endoplasm', 'reticulumplasma', 'membran', 'contact', 'gradient', 'direct', 'cell', 'migrat']","['endoplasmic', 'reticulumplasma', 'membrane', 'contact', 'gradient', 'direct', 'cell', 'migration']"
Article,AncientPlasmodiumgenomes shed light on the history of human malaria,"Genomic analysis ofPlasmodiumDNA from 36 ancient individuals provides insight into the global distribution and spread of malaria-causing species during around 5,500 years of human history.","Megan Michel, Eirini Skourtanioti, Johannes Krause",12-Jun-24,ancientplasmodiumgenomes she would light on the history of human malaria,"['ancientplasmodiumgenomes', 'she', 'would', 'light', 'on', 'the', 'history', 'of', 'human', 'malaria']","['ancientplasmodiumgenomes', 'would', 'light', 'history', 'human', 'malaria']","['ancientplasmodiumgenom', 'would', 'light', 'histori', 'human', 'malaria']","['ancientplasmodiumgenomes', 'would', 'light', 'history', 'human', 'malaria']"
Article,CTLA-4-expressing ILC3s restrain interleukin-23-mediated inflammation,"Subsets of ILC3s upregulate the immunoregulatory checkpoint molecule CTLA-4 after stimulation in a microbiota-dependent manner, and advances to support CTLA-4+ILC3s may represent a treatment opportunity in IL-23-driven chronic inflammation.","Anees Ahmed, Ann M. Joseph, Gregory F. Sonnenberg",12-Jun-24,ctla4expressing ilc3s restrain interleukin23mediated inflammation,"['ctla4expressing', 'ilc3s', 'restrain', 'interleukin23mediated', 'inflammation']","['ctla4expressing', 'ilc3s', 'restrain', 'interleukin23mediated', 'inflammation']","['ctla4express', 'ilc3', 'restrain', 'interleukin23medi', 'inflamm']","['ctla4expressing', 'ilc3s', 'restrain', 'interleukin23mediated', 'inflammation']"
Article,Maize smart-canopy architecture enhances yield at high densities,A natural mutant of maize exhibits leaf characteristics in line with the ‘smart canopy’ ideotype for high-density planting and boosts yields in large-scale field trials.,"Jinge Tian, Chenglong Wang, Feng Tian",12-Jun-24,maize smartcanopy architecture enhances yield at high densities,"['maize', 'smartcanopy', 'architecture', 'enhances', 'yield', 'at', 'high', 'densities']","['maize', 'smartcanopy', 'architecture', 'enhances', 'yield', 'high', 'densities']","['maiz', 'smartcanopi', 'architectur', 'enhanc', 'yield', 'high', 'densiti']","['maize', 'smartcanopy', 'architecture', 'enhances', 'yield', 'high', 'density']"
Article,The respiratory system influences flight mechanics in soaring birds,An investigation of the subpectoral diverticulum—an inflatable air sac structure between the major flight muscles—in 68 avian species reveals that the respiratory system has a role in the mechanics of flight in soaring birds.,"Emma R. Schachner, Andrew J. Moore, Karl T. Bates",12-Jun-24,the respiratory system influences flight mechanics in soaring birds,"['the', 'respiratory', 'system', 'influences', 'flight', 'mechanics', 'in', 'soaring', 'birds']","['respiratory', 'system', 'influences', 'flight', 'mechanics', 'soaring', 'birds']","['respiratori', 'system', 'influenc', 'flight', 'mechan', 'soar', 'bird']","['respiratory', 'system', 'influence', 'flight', 'mechanic', 'soaring', 'bird']"
Article,DNA mismatch and damage patterns revealed by single-molecule sequencing,A DNA sequencing method with single-molecule fidelity detects mismatches and damage present in only one of the two DNA strands with patterns that are both similar and distinct compared to known mutation patterns.,"Mei Hong Liu, Benjamin M. Costa, Gilad D. Evrony",12-Jun-24,dna mismatch and damage patterns revealed by singlemolecule sequencing,"['dna', 'mismatch', 'and', 'damage', 'patterns', 'revealed', 'by', 'singlemolecule', 'sequencing']","['dna', 'mismatch', 'damage', 'patterns', 'revealed', 'singlemolecule', 'sequencing']","['dna', 'mismatch', 'damag', 'pattern', 'reveal', 'singlemolecul', 'sequenc']","['dna', 'mismatch', 'damage', 'pattern', 'revealed', 'singlemolecule', 'sequencing']"
Article,Onset of coupled atmosphere–ocean oxygenation 2.3 billion years ago,The Great Oxidation Event represents a tipping point in Earth’s O2mass balance—when more O2was being produced than destroyed—that forever changed the habitability of worldwide oceans.,"Chadlin M. Ostrander, Andy W. Heard, Sune G. Nielsen",12-Jun-24,onset of coupled atmosphereocean oxygenation 23 billion years ago,"['onset', 'of', 'coupled', 'atmosphereocean', 'oxygenation', '23', 'billion', 'years', 'ago']","['onset', 'coupled', 'atmosphereocean', 'oxygenation', '23', 'billion', 'years', 'ago']","['onset', 'coupl', 'atmosphereocean', 'oxygen', '23', 'billion', 'year', 'ago']","['onset', 'coupled', 'atmosphereocean', 'oxygenation', '23', 'billion', 'year', 'ago']"
Perspective,Possible shift in controls of the tropical Pacific surface warming pattern,"Focusing on the role of external forcing, an investigation of the causes of observed changes in the tropical Pacific surface warming pattern over recent decades discusses a possible shift in the drivers of this pattern.","Masahiro Watanabe, Sarah M. Kang, Malte F. Stuecker",12-Jun-24,possible shift in controls of the tropical pacific surface warming pattern,"['possible', 'shift', 'in', 'controls', 'of', 'the', 'tropical', 'pacific', 'surface', 'warming', 'pattern']","['possible', 'shift', 'controls', 'tropical', 'pacific', 'surface', 'warming', 'pattern']","['possibl', 'shift', 'control', 'tropic', 'pacif', 'surfac', 'warm', 'pattern']","['possible', 'shift', 'control', 'tropical', 'pacific', 'surface', 'warming', 'pattern']"
Article,Ancient genomes reveal insights into ritual life at Chichén Itzá,"We present genome-wide data from 64 subadults interred in Chichén Itzá aroundad500–900 that gives insight into burial rituals, and shows that their genomic legacy is still present and has adapted to immune challenges post-1492.","Rodrigo Barquera, Oana Del Castillo-Chávez, Johannes Krause",12-Jun-24,ancient genomes reveal insights into ritual life at chichén itzá,"['ancient', 'genomes', 'reveal', 'insights', 'into', 'ritual', 'life', 'at', 'chichén', 'itzá']","['ancient', 'genomes', 'reveal', 'insights', 'ritual', 'life', 'chichén', 'itzá']","['ancient', 'genom', 'reveal', 'insight', 'ritual', 'life', 'chichén', 'itzá']","['ancient', 'genome', 'reveal', 'insight', 'ritual', 'life', 'chichén', 'itzá']"
Article,Strand-resolved mutagenicity of DNA damage and repair,How strand-asymmetric processes such as replication and transcription interact with DNA damage to drive mechanisms of repair and mutagenesis is explored.,"Craig J. Anderson, Lana Talmane, Martin S. Taylor",12-Jun-24,strandresolved mutagenicity of dna damage and repair,"['strandresolved', 'mutagenicity', 'of', 'dna', 'damage', 'and', 'repair']","['strandresolved', 'mutagenicity', 'dna', 'damage', 'repair']","['strandresolv', 'mutagen', 'dna', 'damag', 'repair']","['strandresolved', 'mutagenicity', 'dna', 'damage', 'repair']"
Article,Global variability in atmospheric new particle formation mechanisms,"Molecular-level experiments are described to develop a detailed assessment of 11 new particle formation mechanisms in a global climate model and, in comparison with simulations and observations, the dominant mechanisms worldwide are mapped.","Bin Zhao, Neil M. Donahue, Lin Wang",12-Jun-24,global variability in atmospheric new particle formation mechanisms,"['global', 'variability', 'in', 'atmospheric', 'new', 'particle', 'formation', 'mechanisms']","['global', 'variability', 'atmospheric', 'new', 'particle', 'formation', 'mechanisms']","['global', 'variabl', 'atmospher', 'new', 'particl', 'format', 'mechan']","['global', 'variability', 'atmospheric', 'new', 'particle', 'formation', 'mechanism']"
Article,A self-healing multispectral transparent adhesive peptide glass,A tyrosine tripeptide was discovered to unexpectedly form a supramolecular amorphous glassy material by constructing a non-specific hydrogen bonding network with structural water molecules.,"Gal Finkelstein-Zuta, Zohar A. Arnon, Ehud Gazit",12-Jun-24,a selfhealing multispectral transparent adhesive peptide glass,"['a', 'selfhealing', 'multispectral', 'transparent', 'adhesive', 'peptide', 'glass']","['selfhealing', 'multispectral', 'transparent', 'adhesive', 'peptide', 'glass']","['selfheal', 'multispectr', 'transpar', 'adhes', 'peptid', 'glass']","['selfhealing', 'multispectral', 'transparent', 'adhesive', 'peptide', 'glass']"
Article,Experiment-free exoskeleton assistance via learning in simulation,A learning-in-simulation framework for wearable robots uses dynamics-aware musculoskeletal and exoskeleton models and data-driven reinforcement learning to bridge the gap between simulation and reality without human experiments to assist versatile activities.,"Shuzhen Luo, Menghan Jiang, Hao Su",12-Jun-24,experimentfree exoskeleton assistance via learning in simulation,"['experimentfree', 'exoskeleton', 'assistance', 'via', 'learning', 'in', 'simulation']","['experimentfree', 'exoskeleton', 'assistance', 'via', 'learning', 'simulation']","['experimentfre', 'exoskeleton', 'assist', 'via', 'learn', 'simul']","['experimentfree', 'exoskeleton', 'assistance', 'via', 'learning', 'simulation']"
Article,Optical manipulation of the charge-density-wave state in RbV3Sb5,"The charge-density-wave state in RbV3Sb5can be optically manipulated by applying linearly polarized light along high-symmetry directions, which demonstrates the potential of light as a control knob to manipulate complex quantum phenomena in correlated materials.","Yuqing Xing, Seokjin Bae, Vidya Madhavan",12-Jun-24,optical manipulation of the chargedensitywave state in rbv3sb5,"['optical', 'manipulation', 'of', 'the', 'chargedensitywave', 'state', 'in', 'rbv3sb5']","['optical', 'manipulation', 'chargedensitywave', 'state', 'rbv3sb5']","['optic', 'manipul', 'chargedensitywav', 'state', 'rbv3sb5']","['optical', 'manipulation', 'chargedensitywave', 'state', 'rbv3sb5']"
Article,Sleep loss diminishes hippocampal reactivation and replay,A study of neuronal activity in rats finds that sleep loss adversely affects hippocampal function and memory by dissociating hippocampal sharp-wave ripples from memory replay and reactivation events.,"Bapun Giri, Nathaniel Kinsky, Kamran Diba",12-Jun-24,sleep loss diminishes hippocampal reactivation and replay,"['sleep', 'loss', 'diminishes', 'hippocampal', 'reactivation', 'and', 'replay']","['sleep', 'loss', 'diminishes', 'hippocampal', 'reactivation', 'replay']","['sleep', 'loss', 'diminish', 'hippocamp', 'reactiv', 'replay']","['sleep', 'loss', 'diminishes', 'hippocampal', 'reactivation', 'replay']"
Article,Hybrid working from home improves retention without damaging performance,"A trial investigating the effects of a hybrid working schedule in a Chinese technology firm in 2021–2022 shows that working from home two days a week improved job satisfaction, reduced quitting and did not affect performance.","Nicholas Bloom, Ruobing Han, James Liang",12-Jun-24,hybrid working from home improves retention without damaging performance,"['hybrid', 'working', 'from', 'home', 'improves', 'retention', 'without', 'damaging', 'performance']","['hybrid', 'working', 'home', 'improves', 'retention', 'without', 'damaging', 'performance']","['hybrid', 'work', 'home', 'improv', 'retent', 'without', 'damag', 'perform']","['hybrid', 'working', 'home', 'improves', 'retention', 'without', 'damaging', 'performance']"
